package name,version,source,downloads,language,use_count
javax.batch/javax.batch-api,,maven,,java,2408
ant/ant,,maven,,java,2407
javax.security.auth.message/javax.security.auth.message-api,,maven,,java,2381
javax.security.enterprise/javax.security.enterprise-api,,maven,,java,2347
javax/javaee-web-api,,maven,,java,2346
org.scala-lang.modules/scala-java8-compat_2.11,,maven,,java,2329
xmlunit/xmlunit,,maven,,java,2257
com.google.auto.value/auto-value-annotations,,maven,,java,2221
org.powermock/powermock-reflect,,maven,,java,2211
net.ltgt.gradle.incap/incap,,maven,,java,2211
net.ltgt.gradle.incap/incap-processor,,maven,,java,2210
com.google.auto.value/auto-value,,maven,,java,2209
javax.transaction/jta,,maven,,java,2201
com.netflix.hystrix/hystrix-core,,maven,,java,2184
org.powermock/powermock-api-support,,maven,,java,2176
org.powermock/powermock-module-junit4-common,,maven,,java,2148
javax.management.j2ee/javax.management.j2ee-api,,maven,,java,2127
javax.enterprise.deploy/javax.enterprise.deploy-api,,maven,,java,2127
javax.xml.registry/javax.xml.registry-api,,maven,,java,2125
javax/javaee-api,,maven,,java,2124
org.codehaus.jackson/jackson-core-asl,,maven,,java,2108
commons-cli/commons-cli,,maven,,java,2099
com.chuusai/shapeless_2.11,,maven,,java,2058
io.micrometer/micrometer-core,,maven,,java,1991
org.jboss.logging/jboss-logging-spi,,maven,,java,1951
org.jsoup/jsoup,,maven,,java,1924
org.scala-js/scalajs-stubs_2.12,,maven,,java,1892
org.springframework.security/spring-security-core,,maven,,java,1882
org.jboss.arquillian.core/arquillian-core-api,,maven,,java,1876
org.specs2/specs2-fp_2.12,,maven,,java,1875
org.jboss.arquillian.core/arquillian-core-spi,,maven,,java,1874
org.specs2/specs2-common_2.12,,maven,,java,1874
org.specs2/specs2-matcher_2.12,,maven,,java,1873
org.specs2/specs2-core_2.12,,maven,,java,1872
org.jboss.spec.javax.servlet/jboss-servlet-api_3.1_spec,,maven,,java,1866
org.jboss.arquillian.test/arquillian-test-api,,maven,,java,1858
org.jboss.arquillian.test/arquillian-test-spi,,maven,,java,1857
org.jboss.arquillian.config/arquillian-config-api,,maven,,java,1825
tomcat/naming-common,,maven,,java,1811
tomcat/naming-java,,maven,,java,1809
commons-dbcp/commons-dbcp,,maven,,java,1808
org.jboss.arquillian.config/arquillian-config-spi,,maven,,java,1804
org.jboss.arquillian.config/arquillian-config-impl-base,,maven,,java,1803
commons-httpclient/commons-httpclient,,maven,,java,1799
org.scala-lang.modules/scala-java8-compat_2.12,,maven,,java,1793
org.parboiled/parboiled-core,,maven,,java,1792
org.jboss.arquillian.container/arquillian-container-spi,,maven,,java,1782
org.jboss.arquillian.core/arquillian-core-impl-base,,maven,,java,1781
org.scalamacros/quasiquotes_2.10,,maven,,java,1775
org.jboss.arquillian.container/arquillian-container-test-api,,maven,,java,1769
org.jboss.arquillian.container/arquillian-container-test-spi,,maven,,java,1766
org.jboss.arquillian.test/arquillian-test-impl-base,,maven,,java,1764
org.springframework.data/spring-data-commons,,maven,,java,1747
org.jboss.spec.javax.interceptor/jboss-interceptors-api_1.2_spec,,maven,,java,1730
javax.ws.rs/jsr311-api,,maven,,java,1726
org.wso2.carbon.utils/org.wso2.carbon.utils,,maven,,java,1720
org.wso2.carbon/org.wso2.carbon.core,,maven,,java,1716
org.jboss.arquillian.container/arquillian-container-test-impl-base,,maven,,java,1711
com.typesafe.akka/akka-actor_2.12,,maven,,java,1708
commons-digester/commons-digester,,maven,,java,1707
io.prometheus/simpleclient,,maven,,java,1689
com.google.truth.extensions/truth-java8-extension,,maven,,java,1687
org.scalacheck/scalacheck_2.10,,maven,,java,1672
com.google.testing.compile/compile-testing,,maven,,java,1660
org.jboss.arquillian.junit/arquillian-junit-core,,maven,,java,1653
net.sf.jtidy/jtidy,,maven,,java,1647
org.jboss.arquillian.container/arquillian-container-impl-base,,maven,,java,1644
com.typesafe.akka/akka-actor_2.11,,maven,,java,1620
org.jboss.arquillian.junit/arquillian-junit-container,,maven,,java,1608
org.parboiled/parboiled-java,,maven,,java,1587
org.jboss.spec.javax.transaction/jboss-transaction-api_1.2_spec,,maven,,java,1554
org.jboss.spec.javax.annotation/jboss-annotations-api_1.3_spec,,maven,,java,1550
org.pegdown/pegdown,,maven,,java,1510
org.specs2/specs2-scalacheck_2.12,,maven,,java,1508
org.springframework.security/spring-security-web,,maven,,java,1502
com.sun.xml.bind/jaxb-impl,,maven,,java,1493
org.wso2.carbon/org.wso2.carbon.logging,,maven,,java,1475
org.wso2.carbon/org.wso2.carbon.base,,maven,,java,1434
org.wso2.carbon/org.wso2.carbon.registry.api,,maven,,java,1430
org.wso2.carbon/org.wso2.carbon.queuing,,maven,,java,1429
org.wso2.carbon/org.wso2.carbon.user.api,,maven,,java,1429
org.wso2.tomcat/tomcat,,maven,,java,1429
org.wso2.orbit.commons-fileupload/commons-fileupload,,maven,,java,1429
org.wso2.carbon/org.wso2.carbon.utils,,maven,,java,1428
org.mozilla/rhino,,maven,,java,1411
com.google.auto/auto-common,,maven,,java,1410
commons-configuration/commons-configuration,,maven,,java,1403
com.google.auto.service/auto-service,,maven,,java,1389
io.spray/spray-json_2.11,,maven,,java,1381
io.netty/netty-metrics-yammer,,maven,,java,1380
io.netty/netty,,maven,,java,1379
com.zaxxer/HikariCP,,maven,,java,1370
org.springframework.security/spring-security-config,,maven,,java,1359
org.typelevel/macro-compat_2.12,,maven,,java,1356
com.chuusai/shapeless_2.12,,maven,,java,1305
com.lihaoyi/utest_2.11,,maven,,java,1299
org.jboss.spec.javax.servlet/jboss-servlet-api_3.0_spec,,maven,,java,1288
javax.persistence/persistence-api,,maven,,java,1258
com.typesafe.akka/akka-testkit_2.11,,maven,,java,1257
net.sourceforge.findbugs/annotations,,maven,,java,1237
io.grpc/grpc-context,,maven,,java,1234
io.opencensus/opencensus-api,,maven,,java,1221
javax.persistence/javax.persistence-api,,maven,,java,1221
org.wso2.carbon/javax.cache.wso2,,maven,,java,1209
org.wso2.orbit.org.apache.tomcat/jdbc-pool,,maven,,java,1204
org.scala-js/scalajs-library_2.11,,maven,,java,1204
org.wso2.carbon/org.wso2.carbon.user.core,,maven,,java,1197
com.typesafe.akka/akka-protobuf_2.12,,maven,,java,1191
com.typesafe/ssl-config-core_2.12,,maven,,java,1182
org.scalaz/scalaz-core_2.10,,maven,,java,1181
com.typesafe.akka/akka-stream_2.12,,maven,,java,1179
org.wso2.carbon/org.wso2.carbon.registry.xboot,,maven,,java,1179
org.wso2.carbon/org.wso2.carbon.registry.core,,maven,,java,1178
com.alibaba/fastjson,,maven,,java,1167
io.jsonwebtoken/jjwt,,maven,,java,1154
org.jboss.spec.javax.el/jboss-el-api_3.0_spec,,maven,,java,1153
org.scala-js/scalajs-test-interface_2.11,,maven,,java,1132
com.lihaoyi/sourcecode_2.11,,maven,,java,1116
org.specs2/specs2-mock_2.11,,maven,,java,1111
org.typelevel/machinist_2.11,,maven,,java,1095
org.mongodb/bson,,maven,,java,1092
org.specs2/specs2-analysis_2.11,,maven,,java,1091
org.specs2/specs2-matcher-extra_2.11,,maven,,java,1090
redis.clients/jedis,,maven,,java,1090
com.github.javaparser/javaparser-core,,maven,,java,1085
org.jboss.arquillian.testenricher/arquillian-testenricher-cdi,,maven,,java,1069
org.jboss.spec.javax.xml.bind/jboss-jaxb-api_2.3_spec,,maven,,java,1067
javax.portlet/portlet-api,,maven,,java,1066
org.jboss.spec.javax.ejb/jboss-ejb-api_3.2_spec,,maven,,java,1061
ognl/ognl,,maven,,java,1057
org.mongodb/mongo-java-driver,,maven,,java,1049
commons-validator/commons-validator,,maven,,java,1048
org.ccil.cowan.tagsoup/tagsoup,,maven,,java,1045
org.specs2/specs2-junit_2.11,,maven,,java,1043
javax.servlet/jsp-api,,maven,,java,1038
org.jboss.weld/weld-api,,maven,,java,1027
com.github.stephenc.jcip/jcip-annotations,,maven,,java,1027
org.jboss.weld/weld-spi,,maven,,java,1025
com.google.jimfs/jimfs,,maven,,java,1023
org.jboss.weld/weld-core-impl,,maven,,java,1019
org.xerial.snappy/snappy-java,,maven,,java,1016
org.scala-js/scalajs-library_2.12,,maven,,java,1010
com.typesafe.akka/akka-protobuf_2.11,,maven,,java,1009
org.mongodb/mongodb-driver-core,,maven,,java,1006
com.esotericsoftware/minlog,,maven,,java,1006
org.junit.platform/junit-platform-launcher,,maven,,java,1000
javax.servlet/jstl,,maven,,java,1000
org.typelevel/machinist_2.12,,maven,,java,997
org.scala-js/scalajs-test-interface_2.12,,maven,,java,997
com.typesafe/ssl-config-core_2.11,,maven,,java,995
com.typesafe.akka/akka-stream_2.11,,maven,,java,992
org.typelevel/cats-kernel_2.11,,maven,,java,983
org.typelevel/cats-macros_2.11,,maven,,java,981
org.typelevel/cats-core_2.11,,maven,,java,980
org.scalaz/scalaz-effect_2.10,,maven,,java,979
jdom/jdom,,maven,,java,969
org.specs2/specs2-common_2.10,,maven,,java,965
org.specs2/specs2-matcher_2.10,,maven,,java,964
org.specs2/specs2-core_2.10,,maven,,java,963
org.bitbucket.b_c/jose4j,,maven,,java,961
org.typelevel/cats-kernel_2.12,,maven,,java,961
org.eclipse.equinox/org.eclipse.equinox.common,,maven,,java,960
org.typelevel/cats-macros_2.12,,maven,,java,959
org.typelevel/cats-core_2.12,,maven,,java,958
io.monix/minitest_2.11,,maven,,java,944
org.jboss.spec.javax.ws.rs/jboss-jaxrs-api_2.1_spec,,maven,,java,944
org.powermock/powermock-module-testng,,maven,,java,939
com.jcraft/jsch,,maven,,java,937
com.lihaoyi/fastparse_2.11,,maven,,java,922
org.jboss/jandex,,maven,,java,916
com.typesafe.akka/akka-testkit_2.12,,maven,,java,907
org.wso2.carbon/org.wso2.carbon.authenticator.stub,,maven,,java,892
org.jboss.resteasy/resteasy-jaxrs-services,,maven,,java,890
org.jboss.resteasy/resteasy-jaxrs,,maven,,java,889
com.typesafe.play/play-exceptions,,maven,,java,878
com.typesafe.play/build-link,,maven,,java,877
org.wso2.carbon/org.wso2.carbon.core.common,,maven,,java,874
org.wso2.carbon/org.wso2.carbon.authenticator.proxy,,maven,,java,873
org.wso2.orbit.org.owasp.encoder/encoder,,maven,,java,852
com.lihaoyi/fansi_2.11,,maven,,java,843
org.wso2.carbon/org.wso2.carbon.tomcat,,maven,,java,839
com.typesafe.akka/akka-stream-testkit_2.11,,maven,,java,831
com.puppycrawl.tools/checkstyle,,maven,,java,829
com.lmax/disruptor,,maven,,java,829
org.mongodb/mongodb-driver-async,,maven,,java,826
org.awaitility/awaitility,,maven,,java,824
org.wso2.carbon/org.wso2.carbon.core.commons.stub,,maven,,java,824
org.wso2.carbon/org.wso2.carbon.ui,,maven,,java,821
com.ning/async-http-client,,maven,,java,816
com.lihaoyi/ujson_2.11,,maven,,java,806
com.lihaoyi/upickle_2.11,,maven,,java,801
io.netty/netty-build,,maven,,java,792
com.lihaoyi/pprint_2.11,,maven,,java,791
org.scalamock/scalamock-core_2.11,,maven,,java,791
com.eed3si9n.expecty/expecty_2.11,,maven,,java,788
asm/asm,,maven,,java,787
com.github.scopt/scopt_2.11,,maven,,java,787
org.jboss.spec.javax.transaction/jboss-transaction-api_1.1_spec,,maven,,java,785
org.scalamock/scalamock-scalatest-support_2.11,,maven,,java,785
org.jline/jline-terminal,,maven,,java,782
