package name,version,source,downloads,language
patsy,,pypi,"{u'last_month': 981120, u'last_week': 223689, u'last_day': 39826}",python
google-cloud-datastore,,pypi,"{u'last_month': 980402, u'last_week': 260387, u'last_day': 41042}",python
tzlocal,,pypi,"{u'last_month': 977461, u'last_week': 243456, u'last_day': 42512}",python
ijson,,pypi,"{u'last_month': 976606, u'last_week': 242449, u'last_day': 40519}",python
notebook,,pypi,"{u'last_month': 968465, u'last_week': 224420, u'last_day': 39539}",python
aniso8601,,pypi,"{'overall': 4036982, u'last_month': 950687, u'last_week': 236855, u'last_day': 38542}",python
stevedore,,pypi,"{u'last_month': 949832, u'last_week': 221346, u'last_day': 37822}",python
nbconvert,,pypi,"{u'last_month': 934873, u'last_week': 219798, u'last_day': 39291}",python
pystache,,pypi,"{u'last_month': 931163, u'last_week': 271581, u'last_day': 53876}",python
testpath,,pypi,"{u'last_month': 921892, u'last_week': 216341, u'last_day': 38634}",python
bz2file,,pypi,"{'overall': 4909445, u'last_month': 918082, u'last_week': 216679, u'last_day': 34924}",python
python-magic,,pypi,"{u'last_month': 912019, u'last_week': 212669, u'last_day': 37576}",python
plotly,,pypi,"{u'last_month': 910426, u'last_week': 205265, u'last_day': 33300}",python
ipywidgets,,pypi,"{u'last_month': 902359, u'last_week': 210495, u'last_day': 36896}",python
pypandoc,,pypi,"{u'last_month': 898265, u'last_week': 208888, u'last_day': 35951}",python
argcomplete,,pypi,"{'overall': 3345379, u'last_month': 895616, u'last_week': 222001, u'last_day': 34091}",python
widgetsnbextension,,pypi,"{u'last_month': 895085, u'last_week': 209327, u'last_day': 36665}",python
xgboost,,pypi,"{u'last_month': 886823, u'last_week': 202925, u'last_day': 34081}",python
inflection,,pypi,"{'overall': 4020538, u'last_month': 886632, u'last_week': 196446, u'last_day': 36571}",python
gapic-google-cloud-logging-v2,,pypi,"{u'last_month': 885856, u'last_week': 226480, u'last_day': 34227}",python
msgpack-python,,pypi,"{u'last_month': 884229, u'last_week': 199831, u'last_day': 36423}",python
pandocfilters,,pypi,"{u'last_month': 882785, u'last_week': 208074, u'last_day': 37445}",python
proto-google-cloud-logging-v2,,pypi,"{u'last_month': 881208, u'last_week': 225428, u'last_day': 34112}",python
oauth,,pypi,"{u'last_month': 880784, u'last_week': 200855, u'last_day': 30603}",python
terminado,,pypi,"{u'last_month': 876765, u'last_week': 205598, u'last_day': 36506}",python
yarl,,pypi,"{u'last_month': 864095, u'last_week': 190103, u'last_day': 37798}",python
bs4,,pypi,"{'overall': 3103348, u'last_month': 858105, u'last_week': 212492, u'last_day': 35506}",python
s3fs,,pypi,"{u'last_month': 839577, u'last_week': 169397, u'last_day': 29138}",python
python-jose,,pypi,"{u'last_month': 838625, u'last_week': 186713, u'last_day': 33110}",python
text-unidecode,,pypi,"{u'last_month': 835917, u'last_week': 206596, u'last_day': 36220}",python
snowflake-connector-python,,pypi,"{u'last_month': 835368, u'last_week': 203030, u'last_day': 34566}",python
discord.py,,pypi,"{'overall': 9934389, u'last_month': 814244, u'last_week': 195879, u'last_day': 19131}",python
virtualenv-clone,,pypi,"{u'last_month': 812783, u'last_week': 192549, u'last_day': 34396}",python
netifaces,,pypi,"{u'last_month': 812749, u'last_week': 201890, u'last_day': 36032}",python
ua-parser,,pypi,"{u'last_month': 788952, u'last_week': 198831, u'last_day': 37197}",python
pep8,,pypi,"{u'last_month': 785073, u'last_week': 189292, u'last_day': 33357}",python
munch,,pypi,"{u'last_month': 779172, u'last_week': 113300, u'last_day': 19482}",python
google-cloud-firestore,,pypi,"{u'last_month': 768729, u'last_week': 114533, u'last_day': 22313}",python
newrelic,,pypi,"{u'last_month': 766147, u'last_week': 187058, u'last_day': 31100}",python
qtconsole,,pypi,"{u'last_month': 759975, u'last_week': 176550, u'last_day': 31324}",python
watchdog,,pypi,"{u'last_month': 751038, u'last_week': 195947, u'last_day': 40307}",python
pipenv,,pypi,"{u'last_month': 750080, u'last_week': 176676, u'last_day': 32079}",python
tempora,,pypi,"{u'last_month': 749269, u'last_week': 181258, u'last_day': 26799}",python
seaborn,,pypi,"{u'last_month': 743592, u'last_week': 181937, u'last_day': 29304}",python
google-auth-oauthlib,,pypi,"{u'last_month': 742087, u'last_week': 173790, u'last_day': 26446}",python
pip-tools,,pypi,"{u'last_month': 742039, u'last_week': 131583, u'last_day': 27371}",python
portend,,pypi,"{u'last_month': 741969, u'last_week': 180454, u'last_day': 26675}",python
google-cloud-pubsub,,pypi,"{u'last_month': 736796, u'last_week': 183887, u'last_day': 30955}",python
pathspec,,pypi,"{u'last_month': 735189, u'last_week': 178732, u'last_day': 31667}",python
graphql-core,,pypi,"{u'last_month': 732257, u'last_week': 129004, u'last_day': 27181}",python
jaraco.functools,,pypi,"{u'last_month': 730721, u'last_week': 177027, u'last_day': 26094}",python
parsedatetime,,pypi,"{u'last_month': 730346, u'last_week': 320226, u'last_day': 21410}",python
apipkg,,pypi,"{'overall': 3174860, u'last_month': 724937, u'last_week': 175964, u'last_day': 30966}",python
blinker,,pypi,"{'overall': 3123764, u'last_month': 724831, u'last_week': 171831, u'last_day': 30931}",python
