package name,version,source,downloads,language
symfony/validator,,packagist,"{u'last_month': 858452, u'overall': 15840033, u'last_day': 39051}",php
symfony/phpunit-bridge,,packagist,"{u'last_month': 836307, u'overall': 15732902, u'last_day': 36910}",php
mobiledetect/mobiledetectlib,,packagist,"{u'last_month': 557813, u'overall': 15684249, u'last_day': 26789}",php
michelf/php-markdown,,packagist,"{u'last_month': 423763, u'overall': 15546032, u'last_day': 19945}",php
zendframework/zend-escaper,,packagist,"{u'last_month': 685311, u'overall': 15538675, u'last_day': 32037}",php
composer/installers,,packagist,"{u'last_month': 581721, u'overall': 15471625, u'last_day': 25210}",php
elasticsearch/elasticsearch,,packagist,"{u'last_month': 701613, u'overall': 15344710, u'last_day': 31712}",php
ezyang/htmlpurifier,,packagist,"{u'last_month': 552729, u'overall': 15023123, u'last_day': 23674}",php
behat/mink-browserkit-driver,,packagist,"{u'last_month': 408148, u'overall': 14827912, u'last_day': 16805}",php
facebook/webdriver,,packagist,"{u'last_month': 642537, u'overall': 14401967, u'last_day': 29270}",php
fabpot/goutte,,packagist,"{u'last_month': 407366, u'overall': 14365653, u'last_day': 17987}",php
fideloper/proxy,,packagist,"{u'last_month': 1185555, u'overall': 14185433, u'last_day': 48240}",php
imagine/imagine,,packagist,"{u'last_month': 375362, u'overall': 13913335, u'last_day': 14849}",php
seld/jsonlint,,packagist,"{u'last_month': 720805, u'overall': 13842049, u'last_day': 32334}",php
behat/mink-extension,,packagist,"{u'last_month': 366510, u'overall': 13430677, u'last_day': 16493}",php
laravelcollective/html,,packagist,"{u'last_month': 501208, u'overall': 13329080, u'last_day': 22383}",php
phpspec/phpspec,,packagist,"{u'last_month': 204440, u'overall': 13229830, u'last_day': 8163}",php
stof/doctrine-extensions-bundle,,packagist,"{u'last_month': 423866, u'overall': 13068025, u'last_day': 19377}",php
friendsofsymfony/user-bundle,,packagist,"{u'last_month': 306975, u'overall': 12940356, u'last_day': 12748}",php
zendframework/zend-validator,,packagist,"{u'last_month': 485975, u'overall': 12866744, u'last_day': 23871}",php
instaclick/php-webdriver,,packagist,"{u'last_month': 384301, u'overall': 12448728, u'last_day': 16868}",php
knplabs/knp-menu,,packagist,"{u'last_month': 313984, u'overall': 12247616, u'last_day': 13213}",php
symfony/serializer,,packagist,"{u'last_month': 796033, u'overall': 12233133, u'last_day': 33218}",php
symfony/security-acl,,packagist,"{u'last_month': 370008, u'overall': 12232387, u'last_day': 15420}",php
