package name,version,source,downloads,language
annotation-refinery,,pypi,"{'overall': 1029, u'last_month': 40, u'last_week': 7, u'last_day': 2}",python
annotypes,,pypi,"{'overall': 5422, u'last_month': 108, u'last_week': 20, u'last_day': 3}",python
anomalous,,pypi,"{'overall': 6626, u'last_month': 81, u'last_week': 14, u'last_day': 1}",python
anoncreds,,pypi,"{'overall': 11887, u'last_month': 174, u'last_week': 45, u'last_day': 2}",python
anoncreds-dev,,pypi,"{u'last_month': 458, u'last_week': 111, u'last_day': 2}",python
anoncreds-rc,,pypi,"{'overall': 11741, u'last_month': 144, u'last_week': 35, u'last_day': 1}",python
anoncreds-repo-merge,,pypi,"{'overall': 1055, u'last_month': 44, u'last_week': 9, u'last_day': 2}",python
ansible,,pypi,"{u'last_month': 1499057, u'last_week': 346727, u'last_day': 54998}",python
ansible-alicloud,,pypi,"{u'last_month': 261, u'last_week': 54, u'last_day': 4}",python
ansible-bender,,pypi,{},python
ansible-kkvesper,,pypi,"{u'last_month': 38, u'last_week': 7, u'last_day': 2}",python
antares-apps,,pypi,"{'overall': 1075, u'last_month': 51, u'last_week': 11, u'last_day': 3}",python
anthill.querytool,,pypi,"{u'last_month': 39, u'last_week': 6, u'last_day': 2}",python
anthunder,,pypi,"{'overall': 4229, u'last_month': 87, u'last_week': 21, u'last_day': 2}",python
antidote,,pypi,"{'overall': 2952, u'last_month': 66, u'last_week': 13, u'last_day': 3}",python
antikythera,,pypi,"{'overall': 597, u'last_month': 39, u'last_week': 9, u'last_day': 1}",python
antiprism_python,,pypi,{},python
antispoofing.eyeblink,,pypi,"{'overall': 2299, u'last_month': 50, u'last_week': 10, u'last_day': 2}",python
antiweb,,pypi,"{'overall': 2413, u'last_month': 65, u'last_week': 11, u'last_day': 2}",python
antk,,pypi,"{'overall': 1030, u'last_month': 38, u'last_week': 6, u'last_day': 2}",python
antlerinator,,pypi,"{'overall': 3050, u'last_month': 467, u'last_week': 98, u'last_day': 9}",python
anuga,,pypi,"{'overall': 7338, u'last_month': 65, u'last_week': 11, u'last_day': 0}",python
anvil-uplink,,pypi,{},python
anvio,,pypi,{},python
AnyBlok,,pypi,{},python
anycache,,pypi,"{'overall': 5617, u'last_month': 242, u'last_week': 52, u'last_day': 13}",python
anycast-healthchecker,,pypi,"{'overall': 6662, u'last_month': 252, u'last_week': 21, u'last_day': 5}",python
anydb,,pypi,"{'overall': 12095, u'last_month': 126, u'last_week': 19, u'last_day': 3}",python
anyex,,pypi,"{u'last_month': 50, u'last_week': 7, u'last_day': 3}",python
AnyPyTools,,pypi,{},python
anytree,,pypi,{},python
anz.dashboard,,pypi,"{'overall': 3630, u'last_month': 63, u'last_week': 9, u'last_day': 3}",python
aocutils,,pypi,"{'overall': 1638, u'last_month': 84, u'last_week': 16, u'last_day': 4}",python
aosss,,pypi,"{'overall': 631, u'last_month': 38, u'last_week': 5, u'last_day': 2}",python
apache-airflow,,pypi,"{'overall': 512643, u'last_month': 147812, u'last_week': 43644, u'last_day': 6840}",python
apache_dev_tool,,pypi,{},python
APASVO,,pypi,{},python
apertium-apy,,pypi,"{'overall': 8125, u'last_month': 180, u'last_week': 28, u'last_day': 1}",python
aperture-cli,,pypi,"{'overall': 2413, u'last_month': 57, u'last_week': 9, u'last_day': 1}",python
apex-auth,,pypi,"{'overall': 8533, u'last_month': 109, u'last_week': 24, u'last_day': 1}",python
apibee,,pypi,"{'overall': 1462, u'last_month': 44, u'last_week': 8, u'last_day': 0}",python
api-cli,,pypi,"{'overall': 1513, u'last_month': 44, u'last_week': 10, u'last_day': 0}",python
apigpio,,pypi,"{'overall': 1024, u'last_month': 37, u'last_week': 8, u'last_day': 0}",python
ApiMeter,,pypi,{},python
apio,,pypi,{},python
apistar-mail,,pypi,"{'overall': 3043, u'last_month': 49, u'last_week': 10, u'last_day': 0}",python
apistar-mongoengine,,pypi,"{'overall': 2584, u'last_month': 46, u'last_week': 9, u'last_day': 0}",python
