source,target,distance
anomaly/tags-field_type,anomaly/tags-field_type,0
anomaly/dashboard-module,anomaly/dashboard-module,0
2amigos/yii2-grid-view-library,2amigos/yii2-grid-view-library,0
anomaly/files-field_type,anomaly/files-field_type,0
anomaly/files-field_type,anomaly/file-field_type,1
anomaly/files-field_type,anomaly/file-field-type,2
achse/php-math-interval,achse/php-math-interval,0
anomaly/state-field_type,anomaly/state-field_type,0
anomaly/state-field_type,anomaly/state-field-type,1
anomaly/email-field_type,anomaly/email-field-type,1
anomaly/email-field_type,anomaly/email-field_type,0
anomaly/helper-plugin,anomaly/helper-plugin,0
anomaly/navigation-module,anomaly/navigation-module,0
anomaly/polymorphic-field_type,anomaly/polymorphic-field-type,1
anomaly/polymorphic-field_type,anomaly/polymorphic-field_type,0
anomaly/configuration-module,anomaly/configuration-module,0
angelleye/paypal-php-library,angelleye/paypal-php-library,0
akeneo/crowdin-api,akeneo/crowdin-api,0
anomaly/colorpicker-field_type,anomaly/colorpicker-field_type,0
anomaly/posts-module,anomaly/posts-module,0
anomaly/redirects-module,anomaly/redirects-module,0
anomaly/default_authenticator-extension,anomaly/default_authenticator-extension,0
anomaly/addon-field_type,anomaly/addon-field_type,0
alchemy/task-manager,alchemy/task-manager,0
anomaly/local_storage_adapter-extension,anomaly/local_storage_adapter-extension,0
adamwathan/eloquent-oauth-l5,adamwathan/eloquent-oauth-l5,0
adamwathan/eloquent-oauth-l5,adamwathan/eloquent-oauth-l4,1
alexndreazevedo/egoi-api-php,alexndreazevedo/egoi-api-php,0
alt-three/locker,alt-three/locker,0
alt-three/locker,alt-three/logger,2
anomaly/installer-module,anomaly/installer-module,0
anomaly/variables-module,anomaly/variables-module,0
anomaly/page_link_type-extension,anomaly/page_link_type-extension,0
anomaly/throttle_security_check-extension,anomaly/throttle_security_check-extension,0
anomaly/url_link_type-extension,anomaly/url_link_type-extension,0
acquia/drupal-spec-tool,acquia/drupal-spec-tool,0
2amigos/yii2-arrayquery-component,2amigos/yii2-arrayquery-component,0
amnah/yii2-user,amnah/yii2-user,0
akamon/mockery-callable-mock,akamon/mockery-callable-mock,0
anomaly/default_page_handler-extension,anomaly/default_page_handler-extension,0
anomaly/contact-plugin,anomaly/contact-plugin,0
anahkiasen/rocketeer-slack,anahkiasen/rocketeer-slack,0
